X,Y
0.19866072,-0.017382812
0.140625,-0.012304688
0.16741072,-0.014648438
0.14732143,-0.012890625
0.14955357,-0.013085937
0.11607143,-0.01015625
0.13616072,-0.011914062
0.21428573,-0.018750001
0.11383928,-0.009960937
0.15178572,-0.01328125
0.2075893,-0.018164063
0.16741072,-0.014648438
0.16964285,-0.01484375
0.16741072,-0.014648438
0.21428573,-0.018750001
0.16964285,-0.01484375
0.18080358,-0.015820313
0.09375,-0.008203125
0.15848215,-0.013867187
0.15401787,-0.013476563
0.15178572,-0.01328125
0.23883928,-0.020898437
0.20089287,-0.017578125
0.22991072,-0.020117188
0.23660715,-0.020703126
0.18526787,-0.016210938
0.16071428,-0.0140625
0.11830357,-0.010351563
0.19642858,-0.0171875
0.1294643,-0.011328125
0.11830357,-0.010351563
0.1919643,-0.016796876
0.12276786,-0.010742188
0.17410715,-0.015234375
