X,Y_Ori,94_Loclizer_deviation/dot,Y_hou,Y1,Y
14516.70902,0.012792466,0.0252,0.015562611,0.009637389,0.009637389
14515.60885,-0.00995381,0,-0.012109258,0.012109258,0.012109258
14514.45237,-0.014456784,-0.005,-0.017587328,0.012587328,0.012587328
14511.94843,-0.025808297,-0.0202,-0.031396955,0.011196955,0.011196955
14510.08906,-0.017002628,-0.0126,-0.020684462,0.008084462,0.008084462
14509.56171,-0.017436253,-0.0101,-0.021211987,0.011111987,0.011111987
14508.10976,-0.025826206,-0.0227,-0.031418742,0.008718742,0.008718742
14507.29913,-0.020371496,-0.0151,-0.024782842,0.009682842,0.009682842
14505.56481,-0.00266292,0.0076,-0.003239562,0.010839562,0.010839562
14504.6513,-0.001748473,0.0076,-0.002127096,0.009727096,0.009727096
14503.05483,-0.031227982,-0.0277,-0.037990246,0.010290246,0.010290246
14502.17418,-0.009207645,0,-0.011201515,0.011201515,0.011201515
14498.06148,-0.000286006,0.0076,-0.000347939,0.007947939,0.007947939
14497.61552,-0.006250562,0.0025,-0.00760409,0.01010409,0.01010409
14496.1882,-0.024164916,-0.0176,-0.029397708,0.011797708,0.011797708
14493.68865,-0.015638105,-0.0101,-0.019024459,0.008924459,0.008924459
14492.21999,-0.007775517,0.0025,-0.009459266,0.011959266,0.011959266
14491.1048,-0.007330395,0,-0.008917755,0.008917755,0.008917755
14490.04931,-0.020625696,-0.0151,-0.025092088,0.009992088,0.009992088
14489.37697,-0.030828578,-0.0252,-0.037504353,0.012304353,0.012304353
14488.69097,-0.013030546,-0.0076,-0.015852246,0.008252246,0.008252246
14486.92335,-0.00074574,0.0076,-0.000907226,0.008507226,0.008507226
14485.77415,-0.014282397,-0.005,-0.017375179,0.012375179,0.012375179
14485.0794,-0.005957699,0.0025,-0.007247809,0.009747809,0.009747809
14484.34397,-0.019781123,-0.0151,-0.024064627,0.008964627,0.008964627
14483.72851,-0.017651863,-0.0101,-0.021474286,0.011374286,0.011374286
14480.58695,-0.018200059,-0.0101,-0.022141191,0.012041191,0.012041191
14479.69855,-0.015263765,-0.0101,-0.018569057,0.008469057,0.008469057
14479.16131,-0.003860199,0.005,-0.004696106,0.009696106,0.009696106
14478.07416,-0.015866314,-0.0076,-0.019302085,0.011702085,0.011702085
14477.29677,-0.031357418,-0.0277,-0.03814771,0.01044771,0.01044771
14475.02371,-0.009198883,0,-0.011190855,0.011190855,0.011190855
14473.75276,-0.009911571,0,-0.012057872,0.012057872,0.012057872
14472.64491,-0.0138767,-0.005,-0.01688163,0.01188163,0.01188163
14470.39649,0.005251775,0.0151,0.006389021,0.008710979,0.008710979
14469.59727,-0.004867096,0.0025,-0.005921041,0.008421041,0.008421041
14468.37445,-0.007182784,0,-0.00873818,0.00873818,0.00873818
14465.99325,-0.007624888,0,-0.009276019,0.009276019,0.009276019
14465.35075,-0.012717134,-0.0025,-0.015470966,0.012970966,0.012970966
14464.10986,-0.008534354,0,-0.010382426,0.010382426,0.010382426
14462.51727,-0.015093164,-0.0076,-0.018361513,0.010761513,0.010761513
14461.54026,-0.008495392,0,-0.010335027,0.010335027,0.010335027
14460.67095,-0.000854195,0.0076,-0.001039167,0.008639167,0.008639167
14459.55708,-0.01656078,-0.0076,-0.020146934,0.012546934,0.012546934
14458.99633,-0.003890307,0.005,-0.004732734,0.009732734,0.009732734
14456.96857,-2.33E-05,0.0101,-2.83E-05,0.010128346,0.010128346
14456.4819,-0.008565963,0,-0.01042088,0.01042088,0.01042088
14455.76244,0.084815806,0.1109,0.103182246,0.007717754,0.007717754
14453.74866,-0.00632991,0.0025,-0.00770062,0.01020062,0.01020062
14452.63813,0.008722167,0.0202,0.010610909,0.009589091,0.009589091
14451.35548,-0.019032916,-0.0126,-0.023154399,0.010554399,0.010554399
14450.75109,-0.010473136,-0.0025,-0.012741041,0.010241041,0.010241041
14449.25228,-0.01390714,-0.0076,-0.016918662,0.009318662,0.009318662
14448.08411,-0.021668018,-0.0176,-0.026360119,0.008760119,0.008760119
14447.45147,-0.019893986,-0.0151,-0.024201929,0.009101929,0.009101929
14445.46327,-0.008904042,0,-0.010832168,0.010832168,0.010832168
14444.70755,-0.007796858,0,-0.009485229,0.009485229,0.009485229
14444.17948,-0.024263137,-0.0176,-0.029517198,0.011917198,0.011917198
14443.39541,-0.007868544,0,-0.009572438,0.009572438,0.009572438
14441.4469,-0.014179821,-0.0076,-0.017250391,0.009650391,0.009650391
14439.85016,-0.001037505,0.0076,-0.001262172,0.008862172,0.008862172
14439.115,-0.023333682,-0.0176,-0.028386474,0.010786474,0.010786474
14438.03669,0.000945005,0.0126,0.001149641,0.011450359,0.011450359
14437.08278,-0.009528276,0,-0.011591577,0.011591577,0.011591577
14435.41369,-0.00934675,0,-0.011370742,0.011370742,0.011370742
14433.60622,-0.0104874,-0.0025,-0.012758394,0.010258394,0.010258394
14432.23169,-0.018545889,-0.0101,-0.022561909,0.012461909,0.012461909
14430.4131,-0.026285065,-0.0202,-0.031976965,0.011776965,0.011776965
14429.20371,-0.025078043,-0.0202,-0.030508568,0.010308568,0.010308568
14427.17415,0.00870371,0.0227,0.010588455,0.012111545,0.012111545
14425.95607,-0.024079038,-0.0176,-0.029293234,0.011693234,0.011693234
14425.33265,-0.006774477,0.0025,-0.008241456,0.010741456,0.010741456
14424.81013,0.003882178,0.0151,0.004722844,0.010377156,0.010377156
14423.76927,-0.01090047,-0.0025,-0.013260912,0.010760912,0.010760912
14422.45012,-0.009696852,0,-0.011796657,0.011796657,0.011796657
14421.19857,0.004631582,0.0176,0.005634528,0.011965472,0.011965472
14419.73771,-0.012851898,-0.005,-0.015634912,0.010634912,0.010634912
14418.65434,-0.000438446,0.0076,-0.000533389,0.008133389,0.008133389
14417.50388,-0.007620067,0,-0.009270155,0.009270155,0.009270155
14416.12898,-0.016057353,-0.0076,-0.019534493,0.011934493,0.011934493
14415.07001,-0.006357627,0.005,-0.007734339,0.012734339,0.012734339
14412.70281,-0.012386574,-0.0025,-0.015068825,0.012568825,0.012568825
14411.89606,-0.020322366,-0.0151,-0.024723073,0.009623073,0.009623073
14410.11598,-0.001202776,0.0076,-0.001463231,0.009063231,0.009063231
14409.0655,-0.002816036,0.0076,-0.003425835,0.011025835,0.011025835
14408.30778,0.004213151,0.0151,0.005125488,0.009974512,0.009974512
14408.08483,-0.014423585,-0.005,-0.01754694,0.01254694,0.01254694
14406.24981,-0.019421664,-0.0126,-0.023627328,0.011027328,0.011027328
14405.48618,-0.006106522,0.005,-0.007428859,0.012428859,0.012428859
14403.84547,0.059733371,0.0806,0.072668335,0.007931665,0.007931665
14402.94036,-0.006981141,0,-0.008492872,0.008492872,0.008492872
14401.93337,-0.021813805,-0.0151,-0.026537476,0.011437476,0.011437476
14400.8822,-0.019951413,-0.0126,-0.024271792,0.011671792,0.011671792
14399.24368,-0.006869678,0,-0.008357273,0.008357273,0.008357273
14398.76439,-0.017060037,-0.0101,-0.020754303,0.010654303,0.010654303
14397.42764,-0.013631028,-0.0076,-0.016582759,0.008982759,0.008982759
14395.95402,-0.020106438,-0.0151,-0.024460387,0.009360387,0.009360387
14395.02905,-0.009875121,-0.0025,-0.012013529,0.009513529,0.009513529
14394.39302,-0.004794752,0.0025,-0.005833032,0.008333032,0.008333032
14392.79682,-0.015921809,-0.0076,-0.019369597,0.011769597,0.011769597
14391.78055,-0.009178206,-0.0025,-0.011165701,0.008665701,0.008665701
14389.43426,-0.009966662,0,-0.012124893,0.012124893,0.012124893
14388.77545,-0.000820657,0.0101,-0.000998366,0.011098366,0.011098366
14388.2699,-0.02862532,-0.0227,-0.03482399,0.01212399,0.01212399
14387.91325,-0.015766317,-0.0101,-0.019180434,0.009080434,0.009080434
14386.00126,-0.001819941,0.0076,-0.00221404,0.00981404,0.00981404
14385.50574,-0.014808462,-0.0076,-0.018015161,0.010415161,0.010415161
14384.21002,-0.011609487,-0.0025,-0.014123464,0.011623464,0.011623464
14381.0864,0.016773783,0.0302,0.020406062,0.009793938,0.009793938
14380.27611,-0.010638883,-0.0025,-0.01294268,0.01044268,0.01044268
14379.0293,-0.024138964,-0.0202,-0.029366136,0.009166136,0.009166136
14378.48848,-0.018382521,-0.0101,-0.022363164,0.012263164,0.012263164
14376.93501,-0.002314638,0.005,-0.002815861,0.007815861,0.007815861
14375.44507,-0.010114946,0,-0.012305287,0.012305287,0.012305287
14374.56835,-0.000549471,0.0101,-0.000668456,0.010768456,0.010768456
14373.76259,0.002014939,0.0101,0.002451264,0.007648736,0.007648736
14373.14685,-0.010380998,-0.0025,-0.012628951,0.010128951,0.010128951
14371.88906,-0.010297831,-0.0025,-0.012527775,0.010027775,0.010027775
14370.95807,-0.000799957,0.0076,-0.000973184,0.008573184,0.008573184
14370.22304,-0.007850693,0.0025,-0.009550721,0.012050721,0.012050721
14367.87602,-0.02291646,-0.0151,-0.027878905,0.012778905,0.012778905
14366.39385,0.002311873,0.0126,0.002812498,0.009787502,0.009787502
14365.85668,-0.005228455,0.0025,-0.006360651,0.008860651,0.008860651
14364.23462,-0.009284308,-0.0025,-0.011294779,0.008794779,0.008794779
14363.36778,-0.015609281,-0.0076,-0.018989393,0.011389393,0.011389393
14362.87585,-0.015741639,-0.0101,-0.019150412,0.009050412,0.009050412
14362.62699,-0.010498241,0,-0.012771583,0.012771583,0.012771583
14360.96417,-0.021099343,-0.0126,-0.0256683,0.0130683,0.0130683
14360.42621,-0.012545967,-0.0025,-0.015262734,0.012762734,0.012762734
14358.55268,-0.018505503,-0.0101,-0.022512777,0.012412777,0.012412777
14357.26564,-0.007408348,0,-0.009012589,0.009012589,0.009012589
14356.22184,-0.00166705,0.0076,-0.002028041,0.009628041,0.009628041
14355.05663,-0.010080224,-0.0025,-0.012263046,0.009763046,0.009763046
14354.06194,-0.001605363,0.0101,-0.001952996,0.012052996,0.012052996
14352.82676,-0.014739972,-0.0076,-0.017931839,0.010331839,0.010331839
14352.02579,-0.013622189,-0.005,-0.016572006,0.011572006,0.011572006
14349.94632,0.00249602,0.0151,0.003036521,0.012063479,0.012063479
14349.21533,-0.009113263,0,-0.011086695,0.011086695,0.011086695
14347.7239,-0.015504825,-0.0076,-0.018862318,0.011262318,0.011262318
14347.29301,-0.006847408,0.0025,-0.00833018,0.01083018,0.01083018
14346.3605,-0.00942796,0,-0.011469538,0.011469538,0.011469538
14344.89387,-0.014018149,-0.0076,-0.017053709,0.009453709,0.009453709
14343.7637,-0.009055691,0,-0.011016656,0.011016656,0.011016656
14342.8294,-0.006093272,0.0025,-0.00741274,0.00991274,0.00991274
14342.16163,-0.007667989,0,-0.009328454,0.009328454,0.009328454
14340.58719,-0.003132288,0.005,-0.003810569,0.008810569,0.008810569
14338.90205,-0.00943394,-0.0025,-0.011476813,0.008976813,0.008976813
14337.85864,0.006263586,0.0176,0.007619934,0.009980066,0.009980066
14336.24257,-0.012449987,-0.0025,-0.01514597,0.01264597,0.01264597
14334.5788,-0.008489375,0,-0.010327707,0.010327707,0.010327707
14333.12584,-0.005900439,0.0025,-0.00717815,0.00967815,0.00967815
14332.35761,-0.005579463,0.0025,-0.006787668,0.009287668,0.009287668
14331.40201,-0.018038165,-0.0101,-0.02194424,0.01184424,0.01184424
14329.65063,-0.006706551,0.0025,-0.008158821,0.010658821,0.010658821
14328.86762,-0.018725963,-0.0101,-0.022780977,0.012680977,0.012680977
14327.93195,-0.002517073,0.005,-0.003062133,0.008062133,0.008062133
14325.95017,-0.000267002,0.0076,-0.00032482,0.00792482,0.00792482
14324.61735,-0.008242648,0.0025,-0.010027552,0.012527552,0.012527552
14322.68978,-0.006477194,0.0025,-0.007879798,0.010379798,0.010379798
14322.27612,-0.007395986,0,-0.00899755,0.00899755,0.00899755
14321.18231,-0.014637041,-0.0076,-0.017806619,0.010206619,0.010206619
14320.22446,-0.018287785,-0.0101,-0.022247914,0.012147914,0.012147914
14318.60794,-0.012738078,-0.005,-0.015496445,0.010496445,0.010496445
14317.64761,-0.007827713,0,-0.009522765,0.009522765,0.009522765
14317.44173,-0.015870079,-0.0101,-0.019306665,0.009206665,0.009206665
14316.32582,-0.020261993,-0.0151,-0.024649627,0.009549627,0.009549627
14314.604,-0.001738675,0.0076,-0.002115176,0.009715176,0.009715176
14313.20167,-0.006413785,0,-0.007802658,0.007802658,0.007802658
14312.73091,-0.014370006,-0.005,-0.017481759,0.012481759,0.012481759
14311.04003,-0.01006704,0,-0.012247007,0.012247007,0.012247007
14310.35094,-0.016217018,-0.0101,-0.019728732,0.009628732,0.009628732
14309.42091,-0.009132651,-0.0025,-0.011110281,0.008610281,0.008610281
14308.6705,-0.009619683,0,-0.011702777,0.011702777,0.011702777
14308.12953,-0.00052574,0.0076,-0.000639586,0.008239586,0.008239586
14305.59395,-0.01618276,-0.0101,-0.019687056,0.009587056,0.009587056
14303.84609,-0.00629171,0.005,-0.007654148,0.012654148,0.012654148
14303.38928,-0.006071552,0.0025,-0.007386316,0.009886316,0.009886316
